"f_D","L","flavor","param_1","param_2","param_3"
"f","L_FGT",1,0.0258229189753421,0.470932164556762,7.25500051285172
"f","L_FGT",2,0.0337806961572826,0.293835987623309,10.2910724459314
"f","L_Welfare",0.5,0.0288808950718405,0.429100499006261,8.10225358969462
"f","L_Welfare",1,0.0332847988836337,0.382992554942066,9.27177787736757
"f","L_MLE",0,0.0472845788598647,0.685180711492068,11.5136529476187
"lgamma","L_FGT",1,6.48362873288899,0.894496076201774,NA
"lgamma","L_FGT",2,5.1494561399815,0.638826991451516,NA
"lgamma","L_Welfare",0.5,6.24923547932455,0.852103771780026,NA
"lgamma","L_Welfare",1,5.79177355280041,0.760390615270262,NA
"lgamma","L_MLE",0,6.61888428299912,0.912322649506276,NA
"rpln","L_FGT",1,0.235068088539693,4.12093461189479,1.37517796203296
"rpln","L_FGT",2,0.133401736798986,3.79262710757299,1.20957181325172
"rpln","L_Welfare",0.5,0.209131778347958,4.02530330697964,1.32059594519246
"rpln","L_Welfare",1,0.180222199377147,3.92155628969283,1.25216698956246
"rpln","L_MLE",0,0.443831728736976,4.99453315162395,1.8325076916268
